model,split,forecast_horizon_hour,n_rows,mae,rmse,mape
Prophet,test,28,198,1229.832811680874,1530.8943990387745,4.457995541262877
Prophet,test,29,198,1230.573107083771,1547.310755877285,4.700029623457117
Prophet,test,30,198,1286.0413266672665,1609.4306617600062,5.149501585996595
Prophet,test,31,198,1390.7196245648167,1739.3386751142343,5.835455561256922
Prophet,test,32,198,1485.3878427148288,1840.69366303974,6.374562024990582
Prophet,test,33,198,1580.1179712791356,1947.1124255109544,6.840003284444886
Prophet,test,34,198,1630.988991707982,1999.5437001885675,7.021605540980268
Prophet,test,35,198,1585.856465446815,1972.4064748668773,6.65110861118468
Prophet,test,36,198,1609.8716473119553,2059.164357205173,6.423354464762326
Prophet,test,37,198,1901.6714570603,2439.1508823575205,7.130614438288179
Prophet,test,38,198,2042.3640689244817,2645.833971930767,7.21162502462232
Prophet,test,39,198,2247.6318832719044,2814.425370960158,7.666710424215144
Prophet,test,40,198,2258.879314155262,2719.310620183574,7.721792144282498
Prophet,test,41,198,1960.597310224273,2422.196287676803,6.729796914349942
Prophet,test,42,198,1799.8319366971111,2189.4277503848857,6.275983644582227
Prophet,test,43,198,1775.9105743343998,2177.453763309216,6.244780700086345
Prophet,test,44,198,1810.1088198740656,2263.032655875855,6.354914467481147
Prophet,test,45,198,1823.183556270651,2332.796265458811,6.287042995113272
Prophet,test,46,198,1802.895028897484,2327.5766045352893,6.109383407782455
Prophet,test,47,198,1737.1393230004462,2215.1744059624007,5.790218957003848
Prophet,test,48,198,1513.5806475944623,1984.320768379096,5.044954398250793
Prophet,validation,1,183,1902.3410116576629,2294.754815942536,6.210678769927418
Prophet,validation,2,183,1831.314298360776,2196.522940550117,6.009981292967046
Prophet,validation,3,183,1828.2449564034644,2170.1888792463974,6.197533739421402
Prophet,validation,4,183,1761.5685151432351,2076.9339249947425,6.317281142451973
Prophet,validation,5,183,1761.743775347422,2097.7827538488164,6.71572863166867
Prophet,validation,6,183,1799.2711445442817,2166.682550069814,7.25206384555092
Prophet,validation,7,183,1918.772658419152,2314.2349352737297,8.005085942860012
Prophet,validation,8,183,1951.9243465385248,2368.5494331126965,8.323290799713638
Prophet,validation,9,183,1898.2841704388488,2329.043369834495,8.200829233715345
Prophet,validation,10,183,1846.1010627142807,2285.547675967326,7.98070532887678
Prophet,validation,11,183,1848.683658184537,2301.390056443503,7.853639558231179
Prophet,validation,12,183,1940.7030363902488,2449.730915974061,7.8864831412291645
Prophet,validation,13,183,1953.3726003771596,2576.37996180167,7.562763025414289
Prophet,validation,14,183,1927.9293956829729,2583.725416469064,7.113713127746875
Prophet,validation,15,183,2166.103486210221,2828.7777321339067,7.819633679585934
Prophet,validation,16,183,2128.1468399506484,2733.3754858490843,7.6452704037006995
Prophet,validation,17,183,2012.8921123002733,2568.9714875358727,7.290960286609549
Prophet,validation,18,183,1933.188164059553,2446.9105055873674,6.86733346038962
Prophet,validation,19,183,1953.975658122593,2393.005017310331,6.720918302870786
Prophet,validation,20,183,1912.960128592024,2346.5446827394844,6.378382888568805
Prophet,validation,21,183,1913.0905147710355,2343.035747971277,6.15072085801074
Prophet,validation,22,183,1919.2911888609667,2413.7139386720505,5.968042518474357
Prophet,validation,23,183,1864.1823912118623,2385.7902100821443,5.708751683111992
Prophet,validation,24,183,1836.079899026996,2269.837114109321,5.8176422839239565
Prophet,validation,25,183,1832.5749631080157,2235.4751005908006,5.952290757882301
Prophet,validation,26,183,1900.5026946825365,2287.080857476406,6.290933852431496
Prophet,validation,27,183,1954.0349202897287,2313.7813194372184,6.682259981883944
Prophet,validation,28,183,1883.2005201624324,2205.742929273561,6.805304566522318
Prophet,validation,29,183,1901.0762474294013,2225.736520449156,7.308271490824795
Prophet,validation,30,183,1929.232631133536,2274.971093824911,7.84781907077354
Prophet,validation,31,183,2064.0723379534898,2438.8382783103834,8.661293655425219
Prophet,validation,32,183,2075.9815586111945,2486.007597077465,8.929046955175684
Prophet,validation,33,183,1983.8305902170207,2413.8333329875204,8.64814617057434
Prophet,validation,34,183,1926.7295056236976,2345.446039918853,8.417944883039624
Prophet,validation,35,183,1958.5854675801568,2363.2859555141627,8.413886974888198
Prophet,validation,36,183,2101.110551442804,2538.5513490657954,8.655417592343431
Prophet,validation,37,183,2053.6568045792237,2596.114922247305,8.02073601100851
Prophet,validation,38,183,2017.4284847322765,2634.479681930707,7.460336883860971
Prophet,validation,39,183,2214.6688098698246,2828.101346742141,7.969957893428238
Prophet,validation,40,183,2096.1830598088823,2723.2642074452683,7.550515839166005
Prophet,validation,41,183,1930.605118875725,2538.066342275021,6.953878792084428
Prophet,validation,42,183,1943.535050488736,2412.706736355677,6.851617483830476
Prophet,validation,43,183,1968.2154153169784,2364.1704499735733,6.73429535920975
Prophet,validation,44,183,2001.7307829641688,2399.524397542495,6.64336019335488
Prophet,validation,45,183,1936.4871164096817,2410.3911403734405,6.222874605090571
Prophet,validation,46,183,1951.172313393309,2508.382492341705,6.062884524671402
Prophet,validation,47,183,1860.3957440944305,2429.8997221779427,5.677297581297699
Prophet,validation,48,183,1872.12563338651,2341.3000684583803,5.907414395242112
