model,split,forecast_horizon_hour,n_rows,mae,rmse,mape
xgboost_pruned_top50,validation,22,183,766.3326929644809,1017.6368834076684,2.5118293597976837
xgboost_pruned_top50,validation,23,183,781.299500512295,1047.2531811405106,2.51522413562536
xgboost_pruned_top50,validation,24,183,799.0932483777323,1051.3486317350012,2.570793191827527
xgboost_pruned_top50,validation,25,183,754.9375640368852,1020.0335637381664,2.425353128671181
xgboost_pruned_top50,validation,26,183,694.4108393101093,966.4964953201858,2.267270875386552
xgboost_pruned_top50,validation,27,183,649.59981215847,902.4449543744072,2.1894388755304224
xgboost_pruned_top50,validation,28,183,639.6327698087432,857.7902289186898,2.250197846639037
xgboost_pruned_top50,validation,29,183,634.0772178107924,826.3697949800677,2.3627388941137
xgboost_pruned_top50,validation,30,183,629.6938930157104,810.3138172668027,2.4973867677203088
xgboost_pruned_top50,validation,31,183,651.9549607240438,808.5431487145455,2.6896221212545623
xgboost_pruned_top50,validation,32,183,614.2996072404371,780.1791665170447,2.593515838263076
xgboost_pruned_top50,validation,33,183,610.2815488387978,789.7866718898581,2.610540376366575
xgboost_pruned_top50,validation,34,183,613.5830344945355,790.3336580244625,2.645698250021558
xgboost_pruned_top50,validation,35,183,637.4593045594262,828.7004036371789,2.717975158701462
xgboost_pruned_top50,validation,36,183,671.7433081454918,855.7505745933472,2.7808649002701245
xgboost_pruned_top50,validation,37,183,675.9248100239071,866.6200280595614,2.689274911029242
xgboost_pruned_top50,validation,38,183,665.5756489071039,878.1250201545981,2.5253250291933727
xgboost_pruned_top50,validation,39,183,654.825499487705,847.0432320195509,2.3993395318256354
xgboost_pruned_top50,validation,40,183,621.6633687670765,796.9198298275011,2.2151044418467656
xgboost_pruned_top50,validation,41,183,628.8688738046449,807.480780559448,2.1882490161704444
xgboost_pruned_top50,validation,42,183,710.7875683060109,901.6150047708148,2.422885494201438
xgboost_pruned_top50,validation,43,183,761.1668801229508,980.4637085388032,2.55291976585652
xgboost_pruned_top50,validation,44,183,828.2747502561475,1046.014614819172,2.7666355636571645
xgboost_pruned_top50,validation,45,183,865.2811539446722,1081.831067963385,2.8636157032454834
xgboost_pruned_top50,validation,46,183,891.2112043203551,1123.8611617305285,2.928300275350722
xgboost_pruned_top50,validation,47,183,889.1722592213115,1136.785734224054,2.8965606509042545
xgboost_pruned_top50,validation,48,183,875.7578765368852,1118.531281508682,2.829614768281085
