model,split,forecast_horizon_hour,n_rows,mae,rmse,mape
SARIMAX,validation,21,183,1528.867454001091,2062.7979427149353,5.115924217658607
SARIMAX,validation,22,183,1606.944206997958,2169.7648234653407,5.361525007242413
SARIMAX,validation,23,183,1684.326570349164,2242.6725409589894,5.593057889219599
SARIMAX,validation,24,183,1726.5934273936937,2282.494588041049,5.741552481723024
SARIMAX,validation,25,183,1745.6121260162336,2273.3218822363,5.8218794963532785
SARIMAX,validation,26,183,1745.2719561114195,2248.4744445495744,5.919052384019201
SARIMAX,validation,27,183,1764.7277673036588,2261.408691822207,6.143415088077626
SARIMAX,validation,28,183,1792.7923476376927,2295.770771707717,6.522162893225164
SARIMAX,validation,29,183,1849.5009250258659,2357.1151004750177,7.096385011634503
SARIMAX,validation,30,183,1954.2239054870624,2469.0620569191897,7.888510472964007
SARIMAX,validation,31,183,2020.3379830842503,2552.660153707308,8.443482877996146
SARIMAX,validation,32,183,2132.387780338927,2700.990032581849,9.13371942913134
SARIMAX,validation,33,183,2253.079787887466,2841.5267500170858,9.792923294119172
SARIMAX,validation,34,183,2345.1985527857446,2959.3358190832732,10.237355729607957
SARIMAX,validation,35,183,2458.679601536995,3105.33973071711,10.594849610494993
SARIMAX,validation,36,183,2709.8254763378354,3393.5624181812987,11.33391636512414
SARIMAX,validation,37,183,2953.057120242,3711.480806160517,11.900491048229735
SARIMAX,validation,38,183,2960.9883474607914,3761.156432169385,11.449342727752787
SARIMAX,validation,39,183,2804.8221707597086,3565.6271691327897,10.474679047259647
SARIMAX,validation,40,183,2532.305595238354,3278.704346176743,9.200968516866178
SARIMAX,validation,41,183,2395.0509196719477,3169.954805139516,8.49364086394348
SARIMAX,validation,42,183,2426.6677749197606,3235.263032595955,8.43941404886569
SARIMAX,validation,43,183,2507.563836374545,3337.494309080644,8.59650111527228
SARIMAX,validation,44,183,2591.507691031119,3453.1329443736668,8.79626389878186
SARIMAX,validation,45,183,2661.8007357362935,3542.127846599424,8.976971648543769
SARIMAX,validation,46,183,2734.2901364245367,3638.6477007576514,9.195409895312604
SARIMAX,validation,47,183,2790.5706331451624,3703.484377556665,9.37987152899293
SARIMAX,validation,48,183,2822.6030496601543,3727.3528417663188,9.473387697651189
